"Date","Price","Open","High","Low","Change %"
"Nov 25, 2015","8.6418","8.6470","8.6955","8.6095","-0.05%"
"Nov 24, 2015","8.6463","8.6456","8.6682","8.6248","-0.09%"
"Nov 23, 2015","8.6539","8.6247","8.6892","8.6085","0.24%"
"Nov 20, 2015","8.6329","8.6023","8.6459","8.5778","0.38%"
"Nov 19, 2015","8.5999","8.6714","8.6797","8.5752","-0.82%"
"Nov 18, 2015","8.6708","8.6839","8.7293","8.6217","-0.18%"
"Nov 17, 2015","8.6863","8.6967","8.7299","8.6461","-0.11%"
"Nov 16, 2015","8.6955","8.6776","8.7347","8.6603","0.22%"
"Nov 13, 2015","8.6768","8.6641","8.7269","8.6364","-0.03%"
"Nov 12, 2015","8.6792","8.6041","8.7119","8.5888","0.81%"
"Nov 11, 2015","8.6098","8.6313","8.6408","8.5809","-0.21%"
"Nov 10, 2015","8.6280","8.6700","8.7124","8.6174","-0.45%"
"Nov 09, 2015","8.6670","8.6573","8.6758","8.6037","0.01%"
"Nov 06, 2015","8.6663","8.5531","8.6936","8.5143","1.32%"
"Nov 05, 2015","8.5530","8.6523","8.6852","8.5461","-1.09%"
"Nov 04, 2015","8.6474","8.5040","8.6616","8.4931","1.66%"
"Nov 03, 2015","8.5064","8.4886","8.5563","8.4735","0.22%"
"Nov 02, 2015","8.4881","8.4759","8.5042","8.4235","0.05%"
"Oct 30, 2015","8.4840","8.5581","8.5995","8.4499","-0.93%"
"Oct 29, 2015","8.5636","8.5726","8.5963","8.5286","-0.10%"
"Oct 28, 2015","8.5719","8.4490","8.5941","8.4301","1.44%"
"Oct 27, 2015","8.4500","8.3331","8.4806","8.3192","1.41%"
"Oct 26, 2015","8.3323","8.3903","8.4124","8.3209","-0.65%"
"Oct 23, 2015","8.3870","8.3000","8.4292","8.2659","1.12%"
"Oct 22, 2015","8.2943","8.1888","8.2980","8.1685","1.22%"
"Oct 21, 2015","8.1941","8.1271","8.2031","8.1188","0.87%"
"Oct 20, 2015","8.1235","8.1317","8.1463","8.1064","-0.11%"
"Oct 19, 2015","8.1323","8.1120","8.1393","8.0869","0.25%"
"Oct 16, 2015","8.1117","8.0983","8.1182","8.0553","0.16%"
"Oct 15, 2015","8.0988","8.0737","8.1250","8.0351","0.21%"
"Oct 14, 2015","8.0821","8.1636","8.1708","8.0442","-0.92%"
"Oct 13, 2015","8.1570","8.0959","8.1852","8.0635","0.74%"
"Oct 12, 2015","8.0971","8.0843","8.1112","8.0487","0.22%"
"Oct 09, 2015","8.0790","8.1368","8.1590","8.0510","-0.77%"
"Oct 08, 2015","8.1421","8.2100","8.2234","8.1058","-0.88%"
"Oct 07, 2015","8.2143","8.2741","8.2951","8.1979","-0.76%"
"Oct 06, 2015","8.2774","8.4070","8.4400","8.2727","-1.53%"
"Oct 05, 2015","8.4056","8.3742","8.4271","8.3188","0.31%"
"Oct 02, 2015","8.3798","8.4283","8.4800","8.3175","-0.69%"
"Oct 01, 2015","8.4382","8.5172","8.5424","8.4081","-0.91%"
"Sep 30, 2015","8.5160","8.4760","8.5454","8.4193","0.50%"
"Sep 29, 2015","8.4738","8.5332","8.5503","8.4508","-0.70%"
"Sep 28, 2015","8.5332","8.5182","8.6108","8.5026","0.19%"
"Sep 25, 2015","8.5173","8.4558","8.5829","8.4546","0.76%"
"Sep 24, 2015","8.4530","8.2900","8.4912","8.2467","2.02%"
